,term,Alternate forms and synonyms.,Other language examples (back translations),Meaning notes. Definitions.,Related (but different) terms,other consultant suggestions / comments / entries,Galen's rationale,Galen's notes/drafts,,,,,,,,,,,,,,,,,,,,,,,
n,Adonijah,,,"Adonijah was one of King David's younger sons. When David was old, Adonijah tried to become king, but David declared that Solomon must become king. (The name Adonijah means My Lord is the LORD.)",,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Adoni-Zedek,,,Adoni-Zedek was a Canaanite king of Jerusalem whom Joshua and the Israelites captured and put to death following a long battle.,,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
t,agreement,agreements,"binding talk;
promise how to act;
his words were not different from (were the same as) the other’s words (G); ","When two persons or countries promise to help each other, they speak or write an agreement that tells what they will do.","covenant, promise",binding talk; promise how to act,GC 08-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Agrippa,,,"Agrippa, grandson of King Herod, was the last man to be called ""King of Judea"". He ruled between the years 41 and 44 under Roman authority. He once came to hear Paul at Cesaria.",,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
n,Ahijah,,,"Several men were named Ahijah. One was a prophet in northern Israel, another a king, and another a priest at Jerusalem. (The name Ahijah means Brother of the Lord.)",,,GC 19-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Ai,,,Ai was a Canaanite city full of people that worshipped pagan gods. God revealed a plan to Joshua that helped the Israelite army to capture Ai and destroy it as a sacrifice to God.,,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,alabaster ,,which was made of stone (R),Alabaster is a soft kind or rock from which folk can carve bottles and jars. ,,,"Some call this 'soap stone.' In careful English, rock = material, and stone = clump of rock.",,,,,,,,,,,,,,,,,,,,,,,,
t,alliance,"alliances, ally, allies, allied","to become the friend of (G);
fight on the same side
","When two countries or armies agree to go to war against an enemy, they are in an alliance.",,fight on the same side,GC 08-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,aloes ,aloe,"perfume (W);
one thing which smells good which is called aalo (R)","Aloe plants have sap, which is used to make skin cream or medicine.
Aloes is a sweet-smelling sap from wood, used to make perfume.",,"Aloe plants have sap, which is used to make skin cream or medicine.",Usage will be evident in each context.,,,,,,,,,,,,,,,,,,,,,,,,
t,Alpha,,"first; beginning (P);
Alpa (K)","Alpha is the first letter of the Greek alphabet. It looks like ""A"". The Book of Revelation calls Jesus The Alpha, because he is the God who created (who first began) everything good.",Omega,,,,,,,,,,,,,,,,,,,,,,,,,,
t,altar,altars,"sacrifice table/platform;
slicing place;
place for offering (something);
platform of cooking gift/offering (R); 
where sacrifices are made (P, W);","An altar is a table or rough platform made of (stacked) stones or of metal, upon which folk offer sacrifices to God. God ordered Israel to make an altar in their worship tent and, later, in their temple at Jerusalem.","sacrifice,
worship
",,"Refer to encyclopedias for the history of altars, to anthropology for the pagan use of altars, and to church tradition for ecclesial use of altars. Believers have an altar in heaven: Jesus.",,,,,,,,,,,,,,,,,,,,,,,,
t,amen,,"amin; may it be (P, W);
it is true!;
aamen (R)","Amen is an Hebrew word that means yes, it is true, I believe it, or so be it",,,Good as is.,,,,,,,,,,,,,,,,,,,,,,,,
n,Ammon,"Ammonites, Ammonite",,Ammon was a son of Abraham's nephew Lot. Ammon was born when Lot's daughter got him drunk and slept with him.  Ammon's descendants became the Ammonites who were sometimes enemies of Israel.  They worshipped idols.,,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Amnon,,,"Amnon was King David's first son. After Amnon raped David's daughter Tamar, her brother Absalom killed Amnon. (The name Amnon meand Faithful.)",,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Ananias,,,Three men were named Ananias in the New Testament: (1) a Christian at Jerusalem  who died when he lied to God; (2) a Christian at Damascus who baptised Saul; (3) and an high priest at Jerusalem who opposed Jesus' apostles. (The name Ananaias means the Lord Answers.),,,GC 19-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Andrew,,,Andrew was a brother of Peter. They both became part of Jesus' 12 apostles. (The name Andrew means manly.),,,GC 08-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,angel,angels,"spirit messenger obedient to God (whom God sent);
leg/messenger person from God/above/heaven;
one from God's living place (G);
ensel (K); God's helper (P); malaka (W from arabic)","Angel is a Greek word that means messenger. When God sends a spirit with a message for humans, it can appear to be a human being and speak a human language. Evil spirits sometimes appear as angels.  The word angel in Greek describes a job or work or role, not a kind of a creature. ","demon,
prophet",arabic ref.,"Angels remain not a kind of creature, but a job description.",,,,,,,,,,,,,,,,,,,,,,,,
t,anoint,"anoints, anointed","to pour olive oil on one to make him king, chief, true chief (G);
",To anoint means to appoint or choose or designate someone publically by pouring oil on them.,,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Apollos,,,"Apollos was a Jew from Alexandria, Egypt. As a man who spoke eloquently, he was competent in understanding the meaning of the Hebrew Scriptures, so was able to teach Chirstians in Greek-speaking cities.",,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
t,apostle,apostles,"sent one/person;
one that Christ sends (G);
runner (W);
person for sending from a place (person sent on a mission) (D);
Christian leader chosen by God;
first Christian leaders; 
aapostolo (R)","Apostle is a Greek word that means 'sent with authority''. God sent Jesus into the world as his Apostle. Jesus chose 12 apostles whom he sent to tell others about him. Churches also sent men and women, called apostles, to start new churches.","angel,
disciple,
prophet",,"Here is not the place to argue for or against Mattias, nor whether Paul be the real 12th apostle. Interestingly, in Acts 13, it was elders who sent apostles, and in 14 apostles who appointed elders. So it would seem problematic to argue for either kind of worker to have more authority than another. ",,,,,,,,,,,,,,,,,,,,,,,,
n,Aquila,,,"Aquila was husband of Priscilla. They were Jews from Rome who helped Paul to plant churches in Greece and in Syria. (The name Aquila means ""eagle"".)",Priscilla,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
t,Areopagus ,,"place of meeting which is called Areoopagus (K);
meeting place called Areopugas (P);","Areopagus is the name of a hill in Athens, Greece. Teachers and city leaders used to meet on that hill. Their meeting was also called Areopagus.",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,ark of the Covenant,Covenant Box,"box of agreement (W);
box of agreement (tying) (R);
box for covenant/promise;
covenant box; 
sacred chest; the box in which the first writing of the power was kept (P);","The Arc of the Covenant was a wooden box or chest covered with gold. Inside it were the stone tablets, upon which God wrote his Ten Commandments when he made a covenant or agreement with Israel.",,"I would rather not use present tense, as then people would assume that the box is to be seen somewhere. If the article proves to be true, maybe then ok. But as Jesus made a new covenant with us, arc of the Covenant should not be emphasized.  (Hilkka)","Just today, a news article appeared, reporting that the Ark of the Covenant may actually reside in the Church of Saint Mary at Axum, Ethiopia. Since the ark was never reported to have been destroyed, we can speak of it in the present tense.",,,,,,,,,,,,,,,,,,,,,,,,
n,Artaxerxes,,,Artaxerxes was the 6th king of the Persian Empire 465-424 BC. He was grandson of Darius and son of Xerxes. (The name Artaxerxes means He rules with truth.),,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Artemis,,,"Artemis, also called Diana, is the name of an Greek and Roman goddess at whose idol many folk worshipped in a province called Asia.",Diana,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Asenath,,,"Two women were named Asenath. One was Joseph's Egyptian wife, and the other was Jacob's daughter Dina's daughter.",,,GC 23-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Ashtoreth,,,"Ashtoreth was a carved idol used to worship a goddess (female god/deity) named Astart in pagan countries. Some Israelites sinned against the Lord by making Ashtoreth idols, which they often set along side idols of a god (male deity) named Ba'al. ",,,GC 19-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,assembly,"gathering, assemblies, assembling","gathering together of (G);
","Wherever Christians come together to honor Jesus and show love one to another, they form temproary gathering or a permanent assembly.","saints, church",,GC 15-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Assyria,"Assyrian, Assyrians",,Assyria was a powerful nation that invaded northern Israel in the year 738 before Christ. Assyrian soldiers treated their enemies cruelly.,,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Athaliah,,,"Athalia was an evil queen who tried to kill Joash and stop him from being king.  She was daughter or grand-daughter of King Omri. She married king Jehoram of Judah. After he died, she tried to murder all of his sons.",,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,version,,,1.0-Eng-2022-03   ,,,,,,,,,,,,,,,,,,,,,,,,,,,
t,copyright ,license,,"WordLinks database designed and compiled by Robin Rempel.  Copyright 2022, Robin Rempel. Made available under a Creative Commons BY-NC-SA 4.0 International license.  
With acknowledgement and thanks to the following contributors of unpublished back translation (V-E) sample examples.  All used with permission or Fair Use for nonprofit, educational purposes.   
Sue Ness (Kenya) for Daasanach (D) back translations copyright 2019, SIL International.
Carl Harrison (Brazil) for Guajajara (G) back translations copyright 2019 SIL International.  Carl Harrison for Portuguese (P) back translations copyright 2019 Carl Harrison.
Robyn Davies (Papua New Guinea) for Ramoaaina (R) and Kandas (K) back translations copyright 2019, SIL International.  
Galen Currah (Senegal) for Wolof (W) back translations copyright 2019 WEC International and Galen Currah.  
Meaning notes and definitions copyright 2019 Galen Currah, ThD.  Used with permission.  
Special thanks to Hilkka Arminen, SIL translation consultant, for her expert review of the database and helpful editorial suggestions.     
Licensed under the terms of a Creative Commons Creative Commons BY-NC-SA 4.0 International license.        
",,"The © symbol was not utilized in this doc because it does not present properly when the xlsx doc is converted to a csv file and read in the SP software.  Instead, we are simply using the word ""copyright"" in the place of the © symbol.",,,,,,,,,,,,,,,,,,,,,,,,,
n,Athens,Athenians,,,,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
n,Baal ,"baals, Ba'al",,"Baal is the name of an evil god at whose idol many nations used to worship. God sometimes had to punish the Israelites, after they would forsake him to worship Baal.","Ba'al, Beelzebul",,"Ba'al is very well known in cuneiform texts, a kind of international deity with many local idols.",,,,,,,,,,,,,,,,,,,,,,,,
n,Babylon ,"Babylonian, Babylonians, Babylon's",,"Babylon is the name of an ancient city, started around 3000 years before Jesus. Babylon's kings conquered many other countries. When Babylon's king captured Israel, he led many Israelites to go dwell in Babylon for around seventy years. (Peter called Rome Babylon, and the Book of Revelation describes a very evil place called Babylon.)  Babylon was a city filled with people who acted very badly and who disobeyed and rebelled against God.  Therefore, it is sometimes used symbolically to refer to an evil place which God will destroy like he destroyed the historical city.",,,"Actually, 70 years serving the kings of Babylon, part of which was spent in captivity.",,,,,,,,,,,,,,,,,,,,,,,,
n,Balaam ,,,"Balaam lived around 1500 years before Jesus. Balaam was a pagan prophet who, to get money, pretended to speak for God. God ordered the Israelites to kill Balaam.  One time God spoke to Balaam through his donkey.",,,"In that era, pagan prophets not only spoke for the gods, but were believed to have persuasive power over gods. Thus, Balaam sold his services as one who could manipulate Yahweh.",,,,,,,,,,,,,,,,,,,,,,,,
t,baptize,"baptism, baptized, baptizes, baptizer","to pass (a person) under/through water (D);
dip in water (W);
(to symbolize death to an old life and the start of a new life);
initiate / initiation;
cause to have oneself bathed (becoming followers of Jesus the True Chief)(G);
baptais (K);",Baptize is a Greek word that means to wash in water or to dip in water. Jews and some pagans baptize as part of their worship. John baptized Jews who were waiting for Messiah to come. Jesus commanded his apostles to go make disciples by baptizing and teaching them. Christians baptize those who put their trust in Jesus.,,,"A symbolic initiation in/with water that Jesus commanded for those who repent of their sins to become Christians. There are many ways in which to baptize. To dip under/ bury in water and bring back up/out to signify death to old life and resurrected to new life, a new identity. There are a series of baptisms in the Bible: God brought Noah through the water to start a new life after the judgment flood. God (via Moses) rescused Israel from their slavery in Egypt and brought them through the water of the big sea to start a new life trusting him in the wilderness. God (via Joshua) led the new generation of Israel through the Jordan River to begin a new life obeying God in a new land. John dipped people in the waters of the Jordan River who were repenting from their sins and getting prepared for Kingdom life. Jesus went down into the waters of the Jordan River to be baptized by John and came out the other side to go into the wilderness for 40 days to show that he was re-playing Israel as the new Israel but doing it rightly, faithfully, in full obedience to God. Jesus commanded people who believe in him to be put under water to show that they have died and been buried to their old life of rebelling against God and have been raised up to a new life with a new identity as God's children.",,,,,,,,,,,,,,,,,,,,,,,,
n,Barabbas,,,"Barnabas was one of the first Christians at Jerusalem. He brought Paul to meet the first apostles, and he later brought Paul to Antioch (Syria) to make disciples. He and Paul also went together on mission to start new churches of new believers. (The name Barnabas means Son of Encouragement).",,,GC 19-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Barak ,,,"Barak was the fourth judge in Israel, before they had kings. Barak led the Israelites in war, defeating their enemies.",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,barley ,,"grain;
baali (R)","Barley is a kind of grain like wheat. Poor folk used to make bread with Barley, because barley costed less than wheat.",,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Bathsheba,,,"Bathsheba was the beautiful wife of Uriah, a soldier in king David's army. She once took a bath outside where king David saw her bathing. Later they slept together. David caused Uriah to die in battle, then married Bathsheba. God punished David for his sins and caused his first child with Bathsheba to die. Bathsheba's son Solomon became king after David. (The name Bathsheba means Daughter of Promise or Oath.)",,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,bear ,,wild animals … bea (R),"A bear is a very large, strong, hairy beast that dwells in forests. Bears are dangerous, have sharp teeth and long claws, can climb trees, and can kill people. Bears eat almost anything. When an adult bear stands up on two legs, it is taller than a man.",lion,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Beelzebul,,,Beelzebul is another name for the evil god Baal. Some folk believe him to be chief over evil spirits.,Baal,,,,,,,,,,,,,,,,,,,,,,,,,,
t,beer,,"fermented maioc juice, any drink that causes drunkenness (G);
",A drink made from cooked grains containing a small amount of alcohol. ,"wine, strong drink",,,,,,,,,,,,,,,,,,,,,,,,,,
t,wisdom,wise,"intelligence from God;
thinking the same about things that God does (G);
knowledge/wisdom (R); 
the knowing well of things (G);
",Wisdom is knowing and doing that which is true and right. God is all wise and he gives wisdom to all who ask him for it with faith. (Wisdom is also a Christian title for Jesus.),"foolish, knowledge",,,,,,,,,,,,,,,,,,,,,,,,,,
n,Belshazzar,,,Belshazzar was the last king of Babylon. He died in 539 BC when the Persians conquered Babylon. (The name Belshazzar means Bel preserves the king.),,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Benjamin ,,,"Benjamin lived around 2000 years before Jesus. Benjamin was the youngest of Jacob's twelve sons. Thus, Benjamin was the ancestors of one of the twelve tribes of the israel.",,,The term Jew (Judean) does not appear in the Hebrew Scripture until the time of the Babylonian captivity.,,,,,,,,,,,,,,,,,,,,,,,,
n,Bethel,,,"Jacob met God near a town called Luz, so he renamed the town Bethel, which means God's House or Temple. ",,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Bethlehem,,,"Several towns were named Bethlehem. The one near Jerusalem was also called City of David. Micah 5:2 predicted that a great leader would come from Bethlehem, and Jesus was born at Bethleham. (The name Bethlehem means House of Bread.)",,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,Bible,,"the Word of God (G); Paper of God (W)
","Bible means a library of books, or many books (put together). The Holy Bible contains books of the Old and New Testaments, written by many different people over the span of several thousand years, but all coherantly inspired by God's Spirit.","scroll, book",,GC 08-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,bless,"blessing, blessed, blesses, blest","(1) calling God's good onto (someone);
(2) coming/falling on (coming to someone's aid/help/support or showing grace to someone);
speak well / to say good things about (G); cause-blessed/fortunate (R); barke (W from Arabic)","To bless means (1) to speak kind words to others, (2) to wish good to happen to them, (3) to do good to them, or (4) to give good things to them. God blesses us, and we bless others.",curse,arabic ref.,,,,,,,,,,,,,,,,,,,,,,,,,
t,blood,,"blood (G);
","Blood can have a literal meaning, but it often has a figurative or extended meaning.  Blood can mean (a) the crimson fluid in living bodies, (b) violent death or murder, or (c) Jesus' death on a cross. 'Blood on hands' means guilty of murder.","death, sacrifice",,Blood remains a powerful symbol of Jesus' sacrificial death. Translators must decide if the symbol should be retained or replaced with its meaning.,,,,,,,,,,,,,,,,,,,,,,,,
t,boat,dingy,"kanu (transliterated from canoe) (G);
",A boat is a generic term for floating water vehicle used for transporting people and cargo.  Most boats are made from wood.  A ship is a very large boat.  A dingy is a small boat carried in a big boat or pulled behind a big ship.  ,ship,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Boaz,,,"Boaz was a wealthy Israelite farmer who allowed the poor to glean grain that his harvesters left behind. He was a relative of Naomi's dead husband, so he married Ruth, Naomi's widowed daughter-in-law. Thus, he became an ancestor of King David and of Jesus.",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,book,books,"paper (G, W);
","Books are leaves or sheets of paper/parchment fastened together on one edge. Scrolls are rolls of a long sheet of paper/animal skin/papyrus that readers must unroll. Book can mean a part of the Bible that has a name or title, such as Book of Isaiah. Book is also a symbol of God's memory.","scroll, Bible",,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,bread,,"that which we eat / our food (tapioca, pancake) (G);
sago (PNG);","Bread is a kind of food made from ground grains, baked till dry, that may contain yeast to make it soft. If bread does not contain yeast it has a hard or crisp texture.  Bread is a daily food in some countries.Just like people in many countries cannot live without eating bread (bread is their staple), so Jesus [is] called ""the Bread of Life"",
Manna was a special kind of bread from heaven.",manna,,"GC 15-Feb-2019
RR added some content.  OK?

GC 23-Feb-2019
A little wordy? Maybe drop the part about Bethlehem and include:

... Jesus was called the ""Bread of Life,"" because he gives eternal life to those who trust in him.

Manna has its own entry.",,,,,,,,,,,,,,,,,,,,,,,,
t,brimstone,,salfa (K),Brimstone is fiery material like lava from a volcano. God makes brimstone to fall from the sky to the ground.,sulfur,like lava from volcano,GC 29-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,bronze,brass,"redish metal (hard rock) (G);
","Bronze and brass are hard, shiny metals made from mixing copper, zinc and tin. In bible times, some tools, weapons and jewelry were made from bronze or brass.",,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,build,"builder, built",make (G);,"To build something means to make it bigger or better. To build a house means to make a new one, piece by piece. To build or edify people means to make them stronger.","create, form, carve",,GC 23-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Caesar ,,,Caesar was the title that the Romans gave to their kings. Each Caesar was also emperor or high-king over all countries that Rome conquered. Every king over the people of Rome was called Caesar.,"king, Pharaoh, Emperor",,,,,,,,,,,,,,,,,,,,,,,,,,
n,Caesarea,,,"There were two towns called Caesarea. One was built by the Romans, on the sea coast to the North of Jerusalem, in honor of the Roman emperors name Caesar. (The name Caesarea means King's Town.)",,,GC 08-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Cain ,,,"Around 4000 years before Jesus, Adam's and Eve's first two sons were named Cain and Abel. Cain did not honour God, but Abel did. After God reproved Cain, Cain grew angry and killed his brother Abel.","Abel, Adam, Eve",,Same note as for Abel.,,,,,,,,,,,,,,,,,,,,,,,,
n,Caleb,,,Caleb was one of the twelve spies whom Moses sent to observe Canaan. He and Joshua were the only two spies that believed the Israelites could conquer the Canaanites. God rewarded these two men for their faith and their bravery in battle.,,,"Caleb means dog, that is, faithful companion.",,,,,,,,,,,,,,,,,,,,,,,,
t,camel,camels,"kamel-animal; kamel (K); gimel (W from Arabic)
",Camels are taller than horses and donkies.  People can ride on camels. Camels also carry loads. Camel hair is used to make rough cloth.,"donkey, horse",arabic ref.,,,,,,,,,,,,,,,,,,,,,,,,,
n,Canaan ,"Canaanite, Canaanites",,"Canaan was the name of the land that God promised he would give to the people of Israel to be their homeland. Much of Canaan became the land of Israel. Today, part of Canaan is called Palestine.",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,carnelian ,,jewel; konilian (K)' precious stone (W),"Carnelian is a kind of rare, reddish-coloured stone.",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,carve,"carver, carves, carved","cut-cut wood carefully to make something (G);
",To carve something means to cut it with tools in the form of something else. Men carve idols from stone or wood.,"create, build, ",,GC 23-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Ceasar,"King, Pharaoh, Emperor",,Ceaser was a name or title that the Romans gave to their highest leaders or kings/emperors. The Egyptians named their high leaders Pharaoh. ,,,GC 15-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Ceasarea,,,"Ceasarea was a town or city.  Romans and others named some towns Ceasarea as a way in which to honor Ceasar, the Roman Emperor//king",,,GC 15-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,Centurion,Centurions,"chief of soldiers (G); battle leader (W)
","A centurian was a Roman military officer who commanded up to 100 soldiers.  Cente or century means ""100"" in some languages.",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,chains,chain,tied up (G);,Chains are like a rope made from strong metal circles that are linked together.  (Sometimes chains were used to bind or restrain dangerous people like criminals and demoniacs),"prison, rope","Do you need this as chains are used for other purposes, too?: Men used chains to bind criminals and demoniacs.",GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,chariot,chariots,"chariot (transliterated) (G);
","Chariots are fast-moving wagons having only two wheels, pulled by horses. Kings and important officers travelled in chariots.",horses,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,cherub,"cherubs, cherubim",,"There are two kinds of cherub: (1) Statues having wings, such as those atop the Ark of the Covenant. (2) Spirits that guard the throne of God in heaven. ","angel, ",,GC 07-Feb-19 A babylonian word employed by exhilic prophets.,,,,,,,,,,,,,,,,,,,,,,,,
t,Christ,"anointed, Messiah",al-Masih (W),"Christ is not a name, Christ is a title that means anointed. In the Old Testament, Israleites would anoint a new king or prophet with vegetable oil. In the New Testament, God anointed Jesus with his Holy Spirit. However, Christians customarily employ the word Christ as a name without translating it. In some verses 'the Christ' may be translated as 'the King whom God promised would come one day'.",,arabic ref.,,,,,,,,,,,,,,,,,,,,,,,,,
t,Christian,"Christians, believer, believers","group of those who believe (Jesus);
Christ-followers; Christ’s one (R)
those who follow al-Masih (W)","Christian literally means ""little Christ"", or ""Christ follower"", those who follow Christ's example and teachings.  
The Bible describes Christians in many ways. They are 'saints' = holy ones, those who belong to God; 'believers' = those who have faith in Jesus; 'disciples' = those who obey Jesus' commandments; 'brothers and sisters' = those who love one another ; 'church' = those who worship together.","saints, disciples, believer, apostle",arabic ref.,,,,,,,,,,,,,,,,,,,,,,,,,
t,church,Church,"Gathering of believers (W); people of faith (R); people of worship (K)
","Every community of Jesus' followers is a church, and all Christian churches together comprise Christ's church, both on earth and in heaven. The Bible also calls the church the Body of Christ.","saints, assembly",,"No ! Never a building. And capital letters mean nothing in many of the world's scripts. Whilst some of Israel become members of the church, the church has never become Israel. ",,,,,,,,,,,,,,,,,,,,,,,,
t,cinnamon,Cinnamon,sinamon (R); kinamon (K);,"Cinnamon is a fragrent spice made from the bark of a certain kind of a tree. It was mixed with oil that was used to anoint kings, or to prepare bodies for burial.",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,circumcision,"circumcise, circumcised",circle cut; cut around (R);,"A ritual cut made on a boy's or a man’s penis. God commanded circumcision for all Israelite men or baby boys as a signal that they were loyal to Go+E85:E87d's Old Covenant. In the New Testament, physical circumcision is no longer required to show relationship or loyalty to God. Rather, it is used in a figurative way to explain how Christ has cut away the believer's fleshly (sinful) nature to give a new, righteous nature (Col. 2:11-13; Rom. 4:11; 1 Cor 7:18).  Also, baptism is now the sign of our loyalty to God's New Covenant.",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,city,cities,"big town (G, W);
","Cities are towns that are well organized; towns are villages that have a government; villages are groups of familty homes.  In Bible times, cities where usually the largest gathering of homes and buildings, often with a strong protective stone wall around it.  ","town, village",,GC 08-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,clean,cleanse,clear (K); clean (R);,"Under the Moses Law, Jews had to take a ritual bath, or make a sacrifice, before serving God. People could defile themselves or make themselves unclean by serving idols. Contact with dead bodies or blood could make people ritually unclean.
 Under the New Testament, the blood of Jesus cleanses us believers from all sin and defilement, through our faith in him. (Young men and women should remain sexually pure while awaiting marriage.)","pure, forgive",People can defile themselves by serving idols. Contact with dead or blood can make ritually unclean. (Hilkka),,,,,,,,,,,,,,,,,,,,,,,,,
t,commandments,"command, commands, commandment, orders",,"A command is an order that a leader gives to others to obey. A commandment is a order that becomes permanent, such as the Ten Commandments, and Jesus' commandments.",law,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
t,concubine,concubines,"one-who-is-like-a-wife (G);
","Some rich men were married to two kinds of women: wives whose children could receive an inheritance, and concubines whose children could not receive an inheritance.",,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
